Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,000;1,006;0,889;4,209;204,62;100,59;295,40
0,005;1,006;0,889;4,209;204,62;100,59;295,40
0,010;1,006;0,889;4,219;204,93;100,59;295,40
0,015;1,011;0,889;4,209;204,62;101,07;295,40
0,020;1,006;0,898;4,209;204,62;100,59;296,03
0,025;1,006;0,889;4,214;204,77;100,59;295,40
0,030;1,011;0,898;4,209;204,62;101,07;296,03
0,035;1,006;0,894;4,209;204,62;100,59;295,72
0,040;1,006;0,898;4,219;204,93;100,59;296,03
0,045;1,011;0,898;4,214;204,77;101,07;296,03
0,050;1,006;0,889;4,209;204,62;100,59;295,40
0,055;1,011;0,898;4,209;204,62;101,07;296,03
0,060;1,006;0,898;4,209;204,62;100,59;296,03
0,065;1,011;0,898;4,209;204,62;101,07;296,03
0,070;1,016;0,898;4,214;204,77;101,56;296,03
0,075;1,006;0,898;4,209;204,62;100,59;296,03
0,080;1,006;0,898;4,238;205,53;100,59;296,03
0,085;1,006;0,898;4,214;204,77;100,59;296,03
0,090;1,006;0,898;4,185;203,86;100,59;296,03
0,095;1,006;0,898;4,209;204,62;100,59;296,03
0,100;1,006;0,898;4,209;204,62;100,59;296,03
0,105;1,011;0,898;4,209;204,62;101,07;296,03
0,110;1,006;0,898;4,214;204,77;100,59;296,03
0,115;1,011;0,898;4,214;204,77;101,07;296,03
0,120;1,006;0,898;4,214;204,77;100,59;296,03
0,125;1,006;0,898;4,209;204,62;100,59;296,03
0,130;1,006;0,898;4,209;204,62;100,59;296,03
0,135;1,006;0,889;4,214;204,77;100,59;295,40
0,140;1,011;0,898;4,214;204,77;101,07;296,03
0,145;1,006;0,898;4,209;204,62;100,59;296,03
0,150;1,006;0,898;4,214;204,77;100,59;296,03
0,155;1,011;0,898;4,209;204,62;101,07;296,03
0,160;1,006;0,889;4,209;204,62;100,59;295,40
0,165;1,006;0,898;4,209;204,62;100,59;296,03
0,170;1,011;0,898;4,219;204,93;101,07;296,03
0,175;1,006;0,898;4,194;204,16;100,59;296,03
0,180;1,006;0,898;4,219;204,93;100,59;296,03
0,185;1,006;0,898;4,214;204,77;100,59;296,03
0,190;1,016;0,898;4,233;205,38;101,56;296,03
0,195;1,011;0,903;4,219;204,93;101,07;296,35
0,200;1,006;0,898;4,209;204,62;100,59;296,03
0,205;1,011;0,898;4,209;204,62;101,07;296,03
0,210;1,006;0,898;4,214;204,77;100,59;296,03
0,215;1,006;0,898;4,209;204,62;100,59;296,03
0,220;1,006;0,898;4,214;204,77;100,59;296,03
0,225;1,011;0,898;4,214;204,77;101,07;296,03
0,230;1,011;0,903;4,214;204,77;101,07;296,35
0,235;1,006;0,898;4,209;204,62;100,59;296,03
0,240;1,006;0,903;4,209;204,62;100,59;296,35
0,245;1,006;0,903;4,209;204,62;100,59;296,35
0,250;1,011;0,903;4,209;204,62;101,07;296,35
0,255;1,006;0,903;4,209;204,62;100,59;296,35
0,260;1,006;0,903;4,214;204,77;100,59;296,35
0,265;1,011;0,903;4,209;204,62;101,07;296,35
0,270;1,006;0,903;4,214;204,77;100,59;296,35
0,275;1,006;0,903;4,209;204,62;100,59;296,35
0,280;1,006;0,903;4,209;204,62;100,59;296,35
0,285;1,006;0,903;4,214;204,77;100,59;296,35
0,290;1,011;0,903;4,209;204,62;101,07;296,35
0,295;1,006;0,908;4,209;204,62;100,59;296,67
0,300;1,011;0,903;4,214;204,77;101,07;296,35
0,305;1,011;0,903;4,209;204,62;101,07;296,35
0,310;1,006;0,903;4,214;204,77;100,59;296,35
0,315;1,011;0,903;4,209;204,62;101,07;296,35
0,320;1,006;0,908;4,214;204,77;100,59;296,67
0,325;1,011;0,903;4,209;204,62;101,07;296,35
0,330;1,011;0,908;4,209;204,62;101,07;296,67
0,335;1,006;0,908;4,214;204,77;100,59;296,67
0,340;1,006;0,908;4,214;204,77;100,59;296,67
0,345;1,006;0,908;4,214;204,77;100,59;296,67
0,350;1,011;0,908;4,209;204,62;101,07;296,67
0,355;1,011;0,908;4,209;204,62;101,07;296,67
0,360;1,006;0,908;4,209;204,62;100,59;296,67
0,365;1,006;0,903;4,209;204,62;100,59;296,35
0,370;1,011;0,908;4,214;204,77;101,07;296,67
0,375;1,011;0,908;4,209;204,62;101,07;296,67
0,380;1,011;0,908;4,209;204,62;101,07;296,67
0,385;1,006;0,908;4,214;204,77;100,59;296,67
0,390;1,006;0,908;4,209;204,62;100,59;296,67
0,395;1,006;0,908;4,214;204,77;100,59;296,67
0,400;1,011;0,908;4,214;204,77;101,07;296,67
0,405;1,011;0,908;4,209;204,62;101,07;296,67
0,410;1,006;0,908;4,209;204,62;100,59;296,67
0,415;1,011;0,908;4,214;204,77;101,07;296,67
0,420;1,006;0,908;4,209;204,62;100,59;296,67
0,425;1,011;0,908;4,209;204,62;101,07;296,67
0,430;1,011;0,908;4,214;204,77;101,07;296,67
0,435;1,006;0,908;4,214;204,77;100,59;296,67
0,440;1,011;0,908;4,214;204,77;101,07;296,67
0,445;1,006;0,908;4,214;204,77;100,59;296,67
0,450;1,011;0,908;4,185;203,86;101,07;296,67
0,455;1,011;0,908;4,214;204,77;101,07;296,67
0,460;1,006;0,908;4,224;205,08;100,59;296,67
0,465;1,011;0,908;4,209;204,62;101,07;296,67
0,470;1,006;0,908;4,209;204,62;100,59;296,67
0,475;1,011;0,908;4,209;204,62;101,07;296,67
0,480;1,011;0,908;4,204;204,47;101,07;296,67
0,485;1,006;0,908;4,214;204,77;100,59;296,67
0,490;1,011;0,908;4,209;204,62;101,07;296,67
0,495;1,011;0,908;4,209;204,62;101,07;296,67
0,500;1,011;0,913;4,209;204,62;101,07;296,99
0,505;1,011;0,913;4,219;204,93;101,07;296,99
0,510;1,006;0,908;4,214;204,77;100,59;296,67
0,515;1,011;0,908;4,209;204,62;101,07;296,67
0,520;1,006;0,913;4,209;204,62;100,59;296,99
0,525;1,011;0,908;4,209;204,62;101,07;296,67
0,530;1,011;0,913;4,214;204,77;101,07;296,99
0,535;1,011;0,913;4,209;204,62;101,07;296,99
0,540;1,011;0,913;4,209;204,62;101,07;296,99
0,545;1,006;0,913;4,214;204,77;100,59;296,99
0,550;1,006;0,908;4,214;204,77;100,59;296,67
0,555;1,011;0,908;4,214;204,77;101,07;296,67
0,560;1,011;0,908;4,214;204,77;101,07;296,67
0,565;1,006;0,908;4,209;204,62;100,59;296,67
0,570;1,001;0,913;4,214;204,77;100,10;296,99
0,575;1,011;0,913;4,209;204,62;101,07;296,99
0,580;1,016;0,913;4,214;204,77;101,56;296,99
0,585;1,011;0,908;4,209;204,62;101,07;296,67
0,590;1,011;0,913;4,209;204,62;101,07;296,99
0,595;1,011;0,913;4,209;204,62;101,07;296,99
0,600;1,011;0,913;4,219;204,93;101,07;296,99
0,605;1,011;0,918;4,219;204,93;101,07;297,31
0,610;1,011;0,913;4,209;204,62;101,07;296,99
0,615;1,011;0,913;4,209;204,62;101,07;296,99
0,620;1,011;0,913;4,219;204,93;101,07;296,99
0,625;1,011;0,913;4,209;204,62;101,07;296,99
0,630;1,011;0,918;4,214;204,77;101,07;297,31
0,635;1,011;0,918;4,214;204,77;101,07;297,31
0,640;1,011;0,903;4,209;204,62;101,07;296,35
0,645;1,006;0,913;4,209;204,62;100,59;296,99
0,650;1,011;0,928;4,209;204,62;101,07;297,94
0,655;1,011;0,913;4,209;204,62;101,07;296,99
0,660;1,011;0,918;4,209;204,62;101,07;297,31
0,665;1,011;0,913;4,209;204,62;101,07;296,99
0,670;1,006;0,913;4,214;204,77;100,59;296,99
0,675;1,011;0,918;4,219;204,93;101,07;297,31
0,680;1,006;0,918;4,204;204,47;100,59;297,31
0,685;1,011;0,918;4,214;204,77;101,07;297,31
0,690;1,011;0,918;4,189;204,01;101,07;297,31
0,695;1,006;0,918;4,214;204,77;100,59;297,31
0,700;1,011;0,913;4,224;205,08;101,07;296,99
0,705;1,006;0,918;4,209;204,62;100,59;297,31
0,710;1,006;0,913;4,214;204,77;100,59;296,99
0,715;1,011;0,918;4,209;204,62;101,07;297,31
0,720;1,011;0,918;4,209;204,62;101,07;297,31
0,725;1,011;0,918;4,209;204,62;101,07;297,31
0,730;1,016;0,908;4,214;204,77;101,56;296,67
0,735;1,006;0,918;4,209;204,62;100,59;297,31
0,740;1,011;0,918;4,209;204,62;101,07;297,31
0,745;1,006;0,918;4,209;204,62;100,59;297,31
0,750;1,011;0,918;4,209;204,62;101,07;297,31
0,755;1,011;0,918;4,209;204,62;101,07;297,31
0,760;1,011;0,918;4,209;204,62;101,07;297,31
0,765;1,011;0,918;4,209;204,62;101,07;297,31
0,770;1,011;0,918;4,209;204,62;101,07;297,31
0,775;1,011;0,918;4,209;204,62;101,07;297,31
0,780;1,011;0,918;4,209;204,62;101,07;297,31
0,785;1,011;0,918;4,219;204,93;101,07;297,31
0,790;1,011;0,918;4,209;204,62;101,07;297,31
0,795;1,011;0,918;4,214;204,77;101,07;297,31
0,800;1,016;0,913;4,219;204,93;101,56;296,99
0,805;1,011;0,918;4,209;204,62;101,07;297,31
0,810;1,011;0,908;4,180;203,71;101,07;296,67
0,815;1,011;0,918;4,209;204,62;101,07;297,31
0,820;1,006;0,918;4,214;204,77;100,59;297,31
0,825;1,011;0,918;4,214;204,77;101,07;297,31
0,830;1,011;0,918;4,214;204,77;101,07;297,31
0,835;1,011;0,918;4,209;204,62;101,07;297,31
0,840;1,011;0,918;4,209;204,62;101,07;297,31
0,845;1,006;0,918;4,214;204,77;100,59;297,31
0,850;1,011;0,918;4,209;204,62;101,07;297,31
0,855;1,006;0,918;4,214;204,77;100,59;297,31
0,860;1,011;0,918;4,214;204,77;101,07;297,31
0,865;1,011;0,918;4,219;204,93;101,07;297,31
0,870;1,006;0,918;4,209;204,62;100,59;297,31
0,875;1,011;0,918;4,209;204,62;101,07;297,31
0,880;1,011;0,918;4,214;204,77;101,07;297,31
0,885;1,011;0,918;4,209;204,62;101,07;297,31
0,890;1,011;0,918;4,219;204,93;101,07;297,31
0,895;1,011;0,918;4,214;204,77;101,07;297,31
0,900;1,011;0,918;4,209;204,62;101,07;297,31
0,905;1,006;0,918;4,214;204,77;100,59;297,31
0,910;1,011;0,918;4,209;204,62;101,07;297,31
0,915;1,011;0,918;4,214;204,77;101,07;297,31
0,920;1,011;0,918;4,209;204,62;101,07;297,31
0,925;1,011;0,918;4,214;204,77;101,07;297,31
0,930;1,011;0,918;4,214;204,77;101,07;297,31
0,935;1,016;0,918;4,209;204,62;101,56;297,31
0,940;1,011;0,918;4,229;205,23;101,07;297,31
0,945;1,011;0,918;4,214;204,77;101,07;297,31
0,950;1,016;0,918;4,209;204,62;101,56;297,31
0,955;1,006;0,918;4,209;204,62;100,59;297,31
0,960;1,011;0,918;4,209;204,62;101,07;297,31
0,965;1,016;0,918;4,214;204,77;101,56;297,31
0,970;1,011;0,918;4,214;204,77;101,07;297,31
0,975;1,011;0,918;4,209;204,62;101,07;297,31
