Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,000;1,016;0,942;0,244;80,92;101,56;298,90
0,005;1,016;0,942;0,249;81,07;101,56;298,90
0,010;1,016;0,942;0,244;80,92;101,56;298,90
0,015;1,016;0,937;0,244;80,92;101,56;298,58
0,020;1,016;0,947;0,249;81,07;101,56;299,21
0,025;1,021;0,937;0,249;81,07;102,05;298,58
0,030;1,021;0,942;0,244;80,92;102,05;298,90
0,035;1,016;0,942;0,244;80,92;101,56;298,90
0,040;1,016;0,942;0,244;80,92;101,56;298,90
0,045;1,016;0,942;0,249;81,07;101,56;298,90
0,050;1,016;0,942;0,249;81,07;101,56;298,90
0,055;1,016;0,942;0,244;80,92;101,56;298,90
0,060;1,016;0,942;0,249;81,07;101,56;298,90
0,065;1,016;0,942;0,244;80,92;101,56;298,90
0,070;1,016;0,942;0,249;81,07;101,56;298,90
0,075;1,016;0,937;0,249;81,07;101,56;298,58
0,080;1,021;0,947;0,244;80,92;102,05;299,21
0,085;1,016;0,942;0,249;81,07;101,56;298,90
0,090;1,021;0,942;0,244;80,92;102,05;298,90
0,095;1,016;0,942;0,249;81,07;101,56;298,90
0,100;1,021;0,942;0,244;80,92;102,05;298,90
0,105;1,021;0,942;0,249;81,07;102,05;298,90
0,110;1,016;0,942;0,244;80,92;101,56;298,90
0,115;1,021;0,942;0,244;80,92;102,05;298,90
0,120;1,016;0,942;0,249;81,07;101,56;298,90
0,125;1,021;0,942;0,244;80,92;102,05;298,90
0,130;1,016;0,942;0,244;80,92;101,56;298,90
0,135;1,016;0,942;0,249;81,07;101,56;298,90
0,140;1,016;0,942;0,244;80,92;101,56;298,90
0,145;1,016;0,942;0,249;81,07;101,56;298,90
0,150;1,021;0,942;0,249;81,07;102,05;298,90
0,155;1,021;0,942;0,244;80,92;102,05;298,90
0,160;1,016;0,942;0,249;81,07;101,56;298,90
0,165;1,021;0,942;0,244;80,92;102,05;298,90
0,170;1,016;0,942;0,249;81,07;101,56;298,90
0,175;1,021;0,942;0,254;81,22;102,05;298,90
0,180;1,016;0,942;0,249;81,07;101,56;298,90
0,185;1,021;0,942;0,244;80,92;102,05;298,90
0,190;1,016;0,942;0,249;81,07;101,56;298,90
0,195;1,021;0,942;0,249;81,07;102,05;298,90
