Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,000;1,025;0,947;4,517;214,22;102,54;299,21
0,005;1,030;0,947;4,517;214,22;103,03;299,21
0,010;1,025;0,942;4,517;214,22;102,54;298,90
0,015;1,030;0,942;4,517;214,22;103,03;298,90
0,020;1,025;0,942;4,517;214,22;102,54;298,90
0,025;1,030;0,947;4,517;214,22;103,03;299,21
0,030;1,030;0,942;4,517;214,22;103,03;298,90
0,035;1,030;0,947;4,517;214,22;103,03;299,21
0,040;1,030;0,947;4,517;214,22;103,03;299,21
0,045;1,025;0,942;4,517;214,22;102,54;298,90
0,050;1,030;0,942;4,517;214,22;103,03;298,90
0,055;1,025;0,947;4,517;214,22;102,54;299,21
0,060;1,025;0,947;4,517;214,22;102,54;299,21
0,065;1,030;0,942;4,517;214,22;103,03;298,90
0,070;1,025;0,947;4,526;214,52;102,54;299,21
0,075;1,030;0,947;4,517;214,22;103,03;299,21
0,080;1,025;0,947;4,507;213,91;102,54;299,21
0,085;1,030;0,942;4,517;214,22;103,03;298,90
0,090;1,025;0,947;4,517;214,22;102,54;299,21
0,095;1,030;0,942;4,517;214,22;103,03;298,90
0,100;1,025;0,947;4,517;214,22;102,54;299,21
0,105;1,030;0,947;4,517;214,22;103,03;299,21
0,110;1,030;0,942;4,517;214,22;103,03;298,90
0,115;1,030;0,942;4,517;214,22;103,03;298,90
0,120;1,030;0,942;4,517;214,22;103,03;298,90
0,125;1,025;0,942;4,517;214,22;102,54;298,90
0,130;1,030;0,947;4,517;214,22;103,03;299,21
0,135;1,025;0,942;4,521;214,37;102,54;298,90
0,140;1,030;0,942;4,517;214,22;103,03;298,90
0,145;1,030;0,947;4,517;214,22;103,03;299,21
0,150;1,030;0,947;4,517;214,22;103,03;299,21
0,155;1,030;0,947;4,517;214,22;103,03;299,21
0,160;1,025;0,942;4,517;214,22;102,54;298,90
0,165;1,030;0,947;4,512;214,07;103,03;299,21
0,170;1,025;0,947;4,512;214,07;102,54;299,21
0,175;1,030;0,942;4,521;214,37;103,03;298,90
0,180;1,025;0,947;4,512;214,07;102,54;299,21
0,185;1,030;0,947;4,517;214,22;103,03;299,21
0,190;1,030;0,947;4,521;214,37;103,03;299,21
0,195;1,030;0,947;4,517;214,22;103,03;299,21
0,200;1,030;0,947;4,536;214,83;103,03;299,21
0,205;1,025;0,947;4,517;214,22;102,54;299,21
0,210;1,030;0,947;4,502;213,76;103,03;299,21
0,215;1,025;0,947;4,517;214,22;102,54;299,21
0,220;1,030;0,947;4,512;214,07;103,03;299,21
0,225;1,025;0,942;4,517;214,22;102,54;298,90
0,230;1,030;0,942;4,517;214,22;103,03;298,90
0,235;1,030;0,947;4,517;214,22;103,03;299,21
0,240;1,030;0,942;4,517;214,22;103,03;298,90
0,245;1,030;0,942;4,517;214,22;103,03;298,90
0,250;1,025;0,942;4,517;214,22;102,54;298,90
0,255;1,030;0,942;4,517;214,22;103,03;298,90
0,260;1,030;0,947;4,517;214,22;103,03;299,21
0,265;1,030;0,942;4,517;214,22;103,03;298,90
0,270;1,030;0,947;4,517;214,22;103,03;299,21
0,275;1,030;0,942;4,517;214,22;103,03;298,90
0,280;1,030;0,942;4,517;214,22;103,03;298,90
