Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,000;1,035;0,947;0,225;80,31;103,52;299,21
0,005;1,040;0,952;0,225;80,31;104,00;299,53
0,010;1,040;0,952;0,220;80,16;104,00;299,53
0,015;1,040;0,952;0,225;80,31;104,00;299,53
0,020;1,040;0,947;0,220;80,16;104,00;299,21
0,025;1,040;0,947;0,220;80,16;104,00;299,21
0,030;1,035;0,947;0,220;80,16;103,52;299,21
0,035;1,040;0,942;0,220;80,16;104,00;298,90
0,040;1,035;0,947;0,220;80,16;103,52;299,21
0,045;1,040;0,952;0,220;80,16;104,00;299,53
0,050;1,035;0,947;0,225;80,31;103,52;299,21
0,055;1,040;0,947;0,220;80,16;104,00;299,21
0,060;1,035;0,947;0,220;80,16;103,52;299,21
0,065;1,040;0,947;0,225;80,31;104,00;299,21
0,070;1,040;0,952;0,220;80,16;104,00;299,53
0,075;1,040;0,947;0,220;80,16;104,00;299,21
0,080;1,035;0,952;0,225;80,31;103,52;299,53
0,085;1,035;0,947;0,225;80,31;103,52;299,21
0,090;1,035;0,947;0,225;80,31;103,52;299,21
0,095;1,040;0,952;0,220;80,16;104,00;299,53
0,100;1,040;0,947;0,220;80,16;104,00;299,21
0,105;1,035;0,947;0,220;80,16;103,52;299,21
0,110;1,040;0,947;0,220;80,16;104,00;299,21
0,115;1,035;0,952;0,225;80,31;103,52;299,53
0,120;1,040;0,947;0,220;80,16;104,00;299,21
0,125;1,035;0,952;0,225;80,31;103,52;299,53
0,130;1,040;0,952;0,220;80,16;104,00;299,53
0,135;1,040;0,947;0,220;80,16;104,00;299,21
0,140;1,035;0,952;0,220;80,16;103,52;299,53
0,145;1,040;0,947;0,220;80,16;104,00;299,21
0,150;1,035;0,952;0,225;80,31;103,52;299,53
