Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,000;1,016;0,937;4,473;212,85;101,56;298,58
0,005;1,016;0,937;4,473;212,85;101,56;298,58
0,010;1,016;0,937;4,478;213,00;101,56;298,58
0,015;1,016;0,937;4,478;213,00;101,56;298,58
0,020;1,021;0,937;4,473;212,85;102,05;298,58
0,025;1,016;0,937;4,478;213,00;101,56;298,58
0,030;1,016;0,942;4,478;213,00;101,56;298,90
0,035;1,016;0,937;4,478;213,00;101,56;298,58
0,040;1,016;0,937;4,473;212,85;101,56;298,58
0,045;1,021;0,937;4,473;212,85;102,05;298,58
0,050;1,016;0,937;4,443;211,93;101,56;298,58
0,055;1,016;0,937;4,473;212,85;101,56;298,58
0,060;1,016;0,937;4,478;213,00;101,56;298,58
0,065;1,016;0,937;4,478;213,00;101,56;298,58
0,070;1,016;0,937;4,473;212,85;101,56;298,58
0,075;1,016;0,937;4,478;213,00;101,56;298,58
0,080;1,021;0,937;4,478;213,00;102,05;298,58
0,085;1,021;0,937;4,473;212,85;102,05;298,58
0,090;1,016;0,937;4,473;212,85;101,56;298,58
0,095;1,016;0,937;4,473;212,85;101,56;298,58
0,100;1,016;0,937;4,473;212,85;101,56;298,58
0,105;1,016;0,937;4,473;212,85;101,56;298,58
0,110;1,021;0,937;4,473;212,85;102,05;298,58
0,115;1,016;0,937;4,478;213,00;101,56;298,58
0,120;1,016;0,937;4,478;213,00;101,56;298,58
0,125;1,021;0,937;4,473;212,85;102,05;298,58
0,130;1,016;0,937;4,478;213,00;101,56;298,58
0,135;1,016;0,937;4,473;212,85;101,56;298,58
0,140;1,016;0,937;4,473;212,85;101,56;298,58
0,145;1,016;0,937;4,478;213,00;101,56;298,58
0,150;1,016;0,937;4,473;212,85;101,56;298,58
0,155;1,016;0,937;4,478;213,00;101,56;298,58
0,160;1,016;0,933;4,482;213,15;101,56;298,26
0,165;1,016;0,937;4,473;212,85;101,56;298,58
