Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
0,000;0,996;0,942;0,264;81,53;99,61;298,90
0,005;0,996;0,942;0,264;81,53;99,61;298,90
0,010;1,001;0,937;0,264;81,53;100,10;298,58
0,015;1,001;0,942;0,264;81,53;100,10;298,90
0,020;0,996;0,942;0,264;81,53;99,61;298,90
0,025;1,001;0,947;0,264;81,53;100,10;299,21
0,030;0,996;0,942;0,264;81,53;99,61;298,90
0,035;1,001;0,937;0,264;81,53;100,10;298,58
0,040;1,001;0,942;0,264;81,53;100,10;298,90
0,045;0,996;0,942;0,264;81,53;99,61;298,90
0,050;1,001;0,947;0,264;81,53;100,10;299,21
0,055;1,001;0,942;0,264;81,53;100,10;298,90
0,060;1,001;0,947;0,264;81,53;100,10;299,21
0,065;1,001;0,942;0,264;81,53;100,10;298,90
0,070;0,996;0,952;0,264;81,53;99,61;299,53
0,075;1,001;0,942;0,244;80,92;100,10;298,90
0,080;0,996;0,942;0,264;81,53;99,61;298,90
0,085;1,001;0,942;0,264;81,53;100,10;298,90
0,090;1,001;0,942;0,278;81,98;100,10;298,90
0,095;0,996;0,942;0,273;81,83;99,61;298,90
0,100;1,001;0,942;0,244;80,92;100,10;298,90
0,105;1,001;0,942;0,264;81,53;100,10;298,90
0,110;1,006;0,942;0,264;81,53;100,59;298,90
0,115;0,996;0,942;0,264;81,53;99,61;298,90
0,120;0,996;0,942;0,269;81,68;99,61;298,90
0,125;1,001;0,942;0,264;81,53;100,10;298,90
0,130;0,996;0,942;0,264;81,53;99,61;298,90
0,135;1,001;0,942;0,264;81,53;100,10;298,90
0,140;1,001;0,942;0,264;81,53;100,10;298,90
0,145;0,996;0,942;0,264;81,53;99,61;298,90
0,150;0,996;0,942;0,264;81,53;99,61;298,90
0,155;1,001;0,942;0,264;81,53;100,10;298,90
0,160;1,001;0,942;0,264;81,53;100,10;298,90
0,165;1,001;0,942;0,264;81,53;100,10;298,90
0,170;1,001;0,942;0,264;81,53;100,10;298,90
0,175;1,001;0,942;0,264;81,53;100,10;298,90
0,180;0,996;0,942;0,264;81,53;99,61;298,90
0,185;1,001;0,942;0,264;81,53;100,10;298,90
0,190;1,001;0,942;0,264;81,53;100,10;298,90
0,195;0,996;0,942;0,273;81,83;99,61;298,90
0,200;1,001;0,942;0,264;81,53;100,10;298,90
0,205;1,001;0,942;0,264;81,53;100,10;298,90
0,210;1,001;0,942;0,264;81,53;100,10;298,90
0,215;1,001;0,942;0,273;81,83;100,10;298,90
0,220;0,996;0,942;0,264;81,53;99,61;298,90
0,225;1,001;0,942;0,264;81,53;100,10;298,90
0,230;1,001;0,942;0,264;81,53;100,10;298,90
0,235;1,001;0,947;0,264;81,53;100,10;299,21
0,240;1,001;0,942;0,264;81,53;100,10;298,90
0,245;0,996;0,942;0,264;81,53;99,61;298,90
0,250;1,001;0,942;0,264;81,53;100,10;298,90
0,255;0,996;0,942;0,264;81,53;99,61;298,90
0,260;1,001;0,942;0,264;81,53;100,10;298,90
0,265;1,001;0,942;0,264;81,53;100,10;298,90
0,270;0,996;0,942;0,264;81,53;99,61;298,90
0,275;1,001;0,942;0,264;81,53;100,10;298,90
0,280;0,996;0,942;0,264;81,53;99,61;298,90
0,285;1,001;0,942;0,293;82,44;100,10;298,90
0,290;1,001;0,942;0,264;81,53;100,10;298,90
0,295;0,996;0,942;0,264;81,53;99,61;298,90
0,300;1,001;0,942;0,264;81,53;100,10;298,90
0,305;1,001;0,942;0,264;81,53;100,10;298,90
0,310;0,996;0,942;0,264;81,53;99,61;298,90
0,315;1,001;0,942;0,264;81,53;100,10;298,90
0,320;1,001;0,942;0,264;81,53;100,10;298,90
0,325;1,001;0,942;0,264;81,53;100,10;298,90
0,330;1,001;0,942;0,264;81,53;100,10;298,90
0,335;0,996;0,942;0,264;81,53;99,61;298,90
0,340;1,001;0,942;0,264;81,53;100,10;298,90
0,345;1,001;0,942;0,264;81,53;100,10;298,90
0,350;1,001;0,942;0,264;81,53;100,10;298,90
0,355;1,001;0,942;0,264;81,53;100,10;298,90
0,360;0,996;0,942;0,264;81,53;99,61;298,90
0,365;1,001;0,942;0,264;81,53;100,10;298,90
0,370;0,996;0,942;0,264;81,53;99,61;298,90
0,375;1,001;0,942;0,264;81,53;100,10;298,90
0,380;1,001;0,942;0,269;81,68;100,10;298,90
0,385;0,996;0,942;0,264;81,53;99,61;298,90
0,390;1,001;0,942;0,264;81,53;100,10;298,90
0,395;1,006;0,942;0,264;81,53;100,59;298,90
0,400;1,001;0,942;0,264;81,53;100,10;298,90
0,405;1,001;0,942;0,264;81,53;100,10;298,90
0,410;1,001;0,942;0,264;81,53;100,10;298,90
0,415;1,001;0,942;0,264;81,53;100,10;298,90
0,420;1,001;0,947;0,264;81,53;100,10;299,21
0,425;1,001;0,942;0,264;81,53;100,10;298,90
0,430;1,001;0,942;0,264;81,53;100,10;298,90
0,435;0,996;0,942;0,264;81,53;99,61;298,90
0,440;1,001;0,942;0,264;81,53;100,10;298,90
0,445;1,001;0,942;0,264;81,53;100,10;298,90
0,450;1,001;0,942;0,264;81,53;100,10;298,90
0,455;1,001;0,942;0,264;81,53;100,10;298,90
0,460;0,996;0,942;0,264;81,53;99,61;298,90
0,465;1,001;0,942;0,264;81,53;100,10;298,90
0,470;1,001;0,942;0,264;81,53;100,10;298,90
0,475;0,996;0,942;0,264;81,53;99,61;298,90
0,480;1,001;0,947;0,264;81,53;100,10;299,21
0,485;1,001;0,942;0,264;81,53;100,10;298,90
0,490;1,001;0,942;0,264;81,53;100,10;298,90
0,495;1,001;0,942;0,264;81,53;100,10;298,90
0,500;0,996;0,942;0,273;81,83;99,61;298,90
0,505;1,001;0,942;0,264;81,53;100,10;298,90
0,510;1,001;0,947;0,264;81,53;100,10;299,21
0,515;1,001;0,942;0,264;81,53;100,10;298,90
0,520;1,001;0,942;0,264;81,53;100,10;298,90
0,525;0,996;0,942;0,264;81,53;99,61;298,90
0,530;1,001;0,942;0,264;81,53;100,10;298,90
0,535;1,001;0,942;0,264;81,53;100,10;298,90
0,540;1,001;0,942;0,264;81,53;100,10;298,90
0,545;1,001;0,942;0,264;81,53;100,10;298,90
0,550;1,001;0,942;0,264;81,53;100,10;298,90
0,555;1,001;0,942;0,264;81,53;100,10;298,90
0,560;1,001;0,942;0,264;81,53;100,10;298,90
0,565;0,996;0,942;0,283;82,14;99,61;298,90
0,570;1,006;0,942;0,264;81,53;100,59;298,90
0,575;0,996;0,942;0,264;81,53;99,61;298,90
0,580;1,001;0,942;0,264;81,53;100,10;298,90
0,585;0,996;0,942;0,264;81,53;99,61;298,90
0,590;0,996;0,942;0,264;81,53;99,61;298,90
0,595;1,001;0,942;0,264;81,53;100,10;298,90
0,600;0,996;0,942;0,264;81,53;99,61;298,90
0,605;0,986;0,942;0,264;81,53;98,63;298,90
0,610;1,001;0,942;0,264;81,53;100,10;298,90
0,615;1,001;0,942;0,269;81,68;100,10;298,90
0,620;1,001;0,942;0,264;81,53;100,10;298,90
0,625;1,001;0,942;0,264;81,53;100,10;298,90
0,630;1,001;0,937;0,264;81,53;100,10;298,58
0,635;1,001;0,942;0,264;81,53;100,10;298,90
0,640;0,996;0,942;0,264;81,53;99,61;298,90
0,645;1,001;0,952;0,264;81,53;100,10;299,53
0,650;0,996;0,947;0,264;81,53;99,61;299,21
0,655;1,001;0,942;0,264;81,53;100,10;298,90
0,660;1,001;0,942;0,264;81,53;100,10;298,90
0,665;0,996;0,942;0,264;81,53;99,61;298,90
0,670;1,001;0,942;0,264;81,53;100,10;298,90
0,675;0,996;0,942;0,273;81,83;99,61;298,90
0,680;1,001;0,942;0,264;81,53;100,10;298,90
0,685;1,001;0,942;0,264;81,53;100,10;298,90
0,690;0,996;0,942;0,264;81,53;99,61;298,90
0,695;1,001;0,942;0,254;81,22;100,10;298,90
0,700;1,001;0,942;0,264;81,53;100,10;298,90
0,705;1,001;0,942;0,264;81,53;100,10;298,90
0,710;1,001;0,942;0,269;81,68;100,10;298,90
0,715;0,996;0,942;0,264;81,53;99,61;298,90
0,720;1,001;0,942;0,264;81,53;100,10;298,90
0,725;1,001;0,942;0,264;81,53;100,10;298,90
0,730;1,001;0,942;0,264;81,53;100,10;298,90
0,735;1,001;0,942;0,264;81,53;100,10;298,90
0,740;0,996;0,942;0,269;81,68;99,61;298,90
0,745;1,001;0,942;0,264;81,53;100,10;298,90
0,750;1,001;0,942;0,264;81,53;100,10;298,90
0,755;1,001;0,942;0,264;81,53;100,10;298,90
0,760;1,001;0,942;0,264;81,53;100,10;298,90
0,765;0,996;0,942;0,264;81,53;99,61;298,90
0,770;1,001;0,942;0,264;81,53;100,10;298,90
0,775;1,001;0,942;0,259;81,37;100,10;298,90
0,780;1,001;0,942;0,264;81,53;100,10;298,90
0,785;1,001;0,942;0,264;81,53;100,10;298,90
0,790;0,996;0,942;0,269;81,68;99,61;298,90
0,795;1,001;0,942;0,264;81,53;100,10;298,90
0,800;1,001;0,942;0,264;81,53;100,10;298,90
0,805;1,001;0,942;0,264;81,53;100,10;298,90
0,810;1,001;0,942;0,264;81,53;100,10;298,90
0,815;0,996;0,942;0,264;81,53;99,61;298,90
0,820;1,001;0,942;0,264;81,53;100,10;298,90
0,825;1,001;0,942;0,264;81,53;100,10;298,90
0,830;0,996;0,942;0,264;81,53;99,61;298,90
0,835;1,001;0,942;0,264;81,53;100,10;298,90
0,840;0,996;0,942;0,264;81,53;99,61;298,90
0,845;1,001;0,942;0,264;81,53;100,10;298,90
0,850;0,996;0,942;0,264;81,53;99,61;298,90
0,855;1,001;0,942;0,264;81,53;100,10;298,90
0,860;1,001;0,942;0,264;81,53;100,10;298,90
0,865;1,001;0,942;0,264;81,53;100,10;298,90
0,870;1,001;0,942;0,264;81,53;100,10;298,90
0,875;1,001;0,942;0,273;81,83;100,10;298,90
0,880;0,996;0,942;0,264;81,53;99,61;298,90
0,885;0,996;0,942;0,264;81,53;99,61;298,90
0,890;1,001;0,942;0,269;81,68;100,10;298,90
0,895;1,001;0,942;0,264;81,53;100,10;298,90
0,900;1,001;0,942;0,264;81,53;100,10;298,90
0,905;0,996;0,942;0,264;81,53;99,61;298,90
0,910;1,001;0,942;0,264;81,53;100,10;298,90
0,915;1,001;0,947;0,264;81,53;100,10;299,21
0,920;1,001;0,942;0,264;81,53;100,10;298,90
0,925;1,001;0,942;0,264;81,53;100,10;298,90
0,930;0,996;0,942;0,264;81,53;99,61;298,90
0,935;0,996;0,942;0,264;81,53;99,61;298,90
0,940;1,001;0,942;0,264;81,53;100,10;298,90
0,945;0,996;0,942;0,264;81,53;99,61;298,90
0,950;1,001;0,942;0,264;81,53;100,10;298,90
0,955;1,001;0,942;0,264;81,53;100,10;298,90
0,960;1,001;0,942;0,264;81,53;100,10;298,90
0,965;1,001;0,942;0,264;81,53;100,10;298,90
0,970;0,996;0,942;0,264;81,53;99,61;298,90
0,975;1,001;0,942;0,264;81,53;100,10;298,90
0,980;1,001;0,942;0,264;81,53;100,10;298,90
0,985;1,001;0,942;0,264;81,53;100,10;298,90
0,990;1,001;0,942;0,264;81,53;100,10;298,90
0,995;0,996;0,942;0,264;81,53;99,61;298,90
1,000;1,001;0,942;0,264;81,53;100,10;298,90
1,005;1,001;0,942;0,264;81,53;100,10;298,90
1,010;1,001;0,942;0,264;81,53;100,10;298,90
1,015;1,001;0,942;0,264;81,53;100,10;298,90
1,020;0,996;0,942;0,264;81,53;99,61;298,90
1,025;1,001;0,942;0,264;81,53;100,10;298,90
1,030;1,001;0,942;0,264;81,53;100,10;298,90
1,035;1,001;0,942;0,264;81,53;100,10;298,90
1,040;1,001;0,942;0,259;81,37;100,10;298,90
1,045;0,996;0,942;0,264;81,53;99,61;298,90
1,050;1,001;0,942;0,264;81,53;100,10;298,90
1,055;1,001;0,942;0,254;81,22;100,10;298,90
1,060;1,001;0,942;0,264;81,53;100,10;298,90
1,065;1,001;0,942;0,264;81,53;100,10;298,90
1,070;0,996;0,942;0,264;81,53;99,61;298,90
1,075;1,001;0,942;0,264;81,53;100,10;298,90
1,080;1,001;0,942;0,264;81,53;100,10;298,90
1,085;0,996;0,942;0,264;81,53;99,61;298,90
1,090;1,001;0,942;0,264;81,53;100,10;298,90
1,095;0,996;0,942;0,264;81,53;99,61;298,90
1,100;1,001;0,942;0,264;81,53;100,10;298,90
1,105;1,001;0,942;0,264;81,53;100,10;298,90
1,110;0,996;0,942;0,264;81,53;99,61;298,90
1,115;1,001;0,942;0,264;81,53;100,10;298,90
1,120;1,001;0,942;0,264;81,53;100,10;298,90
1,125;0,996;0,942;0,264;81,53;99,61;298,90
1,130;1,001;0,942;0,264;81,53;100,10;298,90
1,135;1,001;0,942;0,264;81,53;100,10;298,90
1,140;1,001;0,942;0,264;81,53;100,10;298,90
1,145;1,001;0,942;0,264;81,53;100,10;298,90
1,150;0,996;0,942;0,264;81,53;99,61;298,90
1,155;1,001;0,937;0,264;81,53;100,10;298,58
1,160;1,001;0,942;0,264;81,53;100,10;298,90
1,165;1,001;0,942;0,264;81,53;100,10;298,90
1,170;1,001;0,942;0,264;81,53;100,10;298,90
1,175;0,996;0,942;0,264;81,53;99,61;298,90
1,180;1,006;0,942;0,264;81,53;100,59;298,90
1,185;1,001;0,942;0,264;81,53;100,10;298,90
1,190;0,996;0,942;0,264;81,53;99,61;298,90
1,195;1,001;0,942;0,264;81,53;100,10;298,90
1,200;0,996;0,942;0,269;81,68;99,61;298,90
1,205;1,006;0,942;0,264;81,53;100,59;298,90
1,210;1,001;0,942;0,264;81,53;100,10;298,90
1,215;1,001;0,942;0,264;81,53;100,10;298,90
1,220;1,001;0,942;0,264;81,53;100,10;298,90
1,225;0,996;0,942;0,264;81,53;99,61;298,90
1,230;1,001;0,937;0,264;81,53;100,10;298,58
1,235;1,001;0,942;0,264;81,53;100,10;298,90
1,240;1,001;0,947;0,264;81,53;100,10;299,21
1,245;1,001;0,947;0,264;81,53;100,10;299,21
1,250;0,996;0,937;0,264;81,53;99,61;298,58
1,255;1,001;0,942;0,264;81,53;100,10;298,90
1,260;1,001;0,942;0,264;81,53;100,10;298,90
1,265;0,996;0,942;0,264;81,53;99,61;298,90
1,270;1,001;0,942;0,264;81,53;100,10;298,90
1,275;1,001;0,942;0,264;81,53;100,10;298,90
1,280;1,001;0,942;0,264;81,53;100,10;298,90
1,285;1,001;0,942;0,283;82,14;100,10;298,90
1,290;0,996;0,942;0,264;81,53;99,61;298,90
1,295;1,001;0,942;0,269;81,68;100,10;298,90
1,300;1,001;0,942;0,264;81,53;100,10;298,90
1,305;1,001;0,942;0,264;81,53;100,10;298,90
1,310;1,001;0,947;0,273;81,83;100,10;299,21
1,315;0,996;0,942;0,264;81,53;99,61;298,90
1,320;1,001;0,942;0,278;81,98;100,10;298,90
1,325;1,001;0,942;0,264;81,53;100,10;298,90
1,330;0,996;0,947;0,269;81,68;99,61;299,21
1,335;1,001;0,942;0,264;81,53;100,10;298,90
1,340;1,001;0,942;0,264;81,53;100,10;298,90
1,345;0,996;0,942;0,264;81,53;99,61;298,90
1,350;1,001;0,942;0,264;81,53;100,10;298,90
1,355;1,001;0,942;0,264;81,53;100,10;298,90
1,360;1,001;0,942;0,264;81,53;100,10;298,90
1,365;1,001;0,942;0,264;81,53;100,10;298,90
1,370;0,996;0,942;0,264;81,53;99,61;298,90
1,375;1,001;0,942;0,264;81,53;100,10;298,90
1,380;1,001;0,942;0,264;81,53;100,10;298,90
1,385;0,996;0,942;0,264;81,53;99,61;298,90
1,390;1,001;0,942;0,264;81,53;100,10;298,90
1,395;0,996;0,942;0,264;81,53;99,61;298,90
1,400;1,001;0,942;0,264;81,53;100,10;298,90
1,405;1,001;0,942;0,264;81,53;100,10;298,90
1,410;0,996;0,942;0,264;81,53;99,61;298,90
1,415;1,001;0,942;0,264;81,53;100,10;298,90
1,420;0,996;0,942;0,264;81,53;99,61;298,90
1,425;0,996;0,942;0,264;81,53;99,61;298,90
1,430;1,001;0,942;0,264;81,53;100,10;298,90
1,435;1,001;0,942;0,264;81,53;100,10;298,90
1,440;1,001;0,942;0,264;81,53;100,10;298,90
1,445;1,001;0,942;0,264;81,53;100,10;298,90
1,450;0,996;0,942;0,264;81,53;99,61;298,90
1,455;1,001;0,942;0,264;81,53;100,10;298,90
1,460;1,001;0,942;0,264;81,53;100,10;298,90
1,465;1,001;0,942;0,264;81,53;100,10;298,90
1,470;1,001;0,942;0,264;81,53;100,10;298,90
1,475;0,996;0,942;0,254;81,22;99,61;298,90
1,480;1,001;0,942;0,264;81,53;100,10;298,90
1,485;1,001;0,942;0,269;81,68;100,10;298,90
1,490;0,996;0,942;0,264;81,53;99,61;298,90
1,495;1,001;0,942;0,264;81,53;100,10;298,90
1,500;1,001;0,942;0,264;81,53;100,10;298,90
1,505;1,001;0,942;0,264;81,53;100,10;298,90
1,510;1,001;0,942;0,264;81,53;100,10;298,90
1,515;0,996;0,937;0,264;81,53;99,61;298,58
1,520;1,001;0,942;0,264;81,53;100,10;298,90
1,525;0,996;0,942;0,264;81,53;99,61;298,90
1,530;0,996;0,942;0,264;81,53;99,61;298,90
1,535;1,001;0,942;0,264;81,53;100,10;298,90
1,540;0,996;0,942;0,264;81,53;99,61;298,90
1,545;1,001;0,942;0,264;81,53;100,10;298,90
1,550;1,001;0,942;0,264;81,53;100,10;298,90
1,555;0,991;0,942;0,264;81,53;99,12;298,90
1,560;1,001;0,942;0,264;81,53;100,10;298,90
1,565;1,001;0,942;0,264;81,53;100,10;298,90
